dataset,domain,architecture,run_id,timestamp,accuracy,f1_macro,f1_weighted,latency_ms,latency_std,failure_rate,explainability_score,avg_confidence,dependency,error_tolerance,ambiguity
UCI_Heart_Disease,healthcare,SemiSymbolic,0,2026-04-13T17:21:50.476955,0.7166666666666667,0.7165879410947485,0.7172177456700937,0.0009062806765238444,0.00029921878408569337,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,0,2026-04-13T17:21:50.788716,0.8166666666666667,0.8153846153846154,0.8158974358974359,0.004289801915486654,0.0004576192669183037,0.0,3.0,0.8705399208645161,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,1,2026-04-13T17:21:50.865166,0.8166666666666667,0.8166157265907197,0.8167176067426137,0.0008926113446553549,0.00020704086508991954,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,1,2026-04-13T17:21:51.183380,0.7,0.6914285714285715,0.7068571428571429,0.004434426625569661,0.0005569972510710721,0.0,3.0,0.8543574109600807,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,2,2026-04-13T17:21:51.294855,0.7166666666666667,0.7146853146853147,0.7186480186480186,0.001439821720123291,0.0012185955561163893,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,2,2026-04-13T17:21:51.598752,0.7833333333333333,0.7757976430008624,0.7812781450608413,0.004173004627227783,0.0005845648090514168,0.0,3.0,0.8058098812467741,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,3,2026-04-13T17:21:51.675784,0.8333333333333334,0.8303167420814479,0.8355957767722474,0.000873116652170817,0.00017382130530107134,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,3,2026-04-13T17:21:51.990949,0.7666666666666667,0.7488038277511961,0.7644338118022328,0.00436938206354777,0.0006155651113130995,0.0,3.0,0.8705399208645161,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,4,2026-04-13T17:21:52.068376,0.7666666666666667,0.7435897435897436,0.7615384615384616,0.0008795698483784994,0.00017563224281622627,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,4,2026-04-13T17:21:52.401082,0.8166666666666667,0.8162071846282373,0.8159008632692843,0.004672706127166748,0.0016004791321449026,0.0,3.0,0.8705399208645161,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,5,2026-04-13T17:21:52.479407,0.75,0.7465502675302731,0.75147845677274,0.0008667111396789551,0.00017699517588398324,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,5,2026-04-13T17:21:52.791671,0.7833333333333333,0.7803435651929034,0.7829062235989862,0.00425029993057251,0.00037156827486906335,0.0,3.0,0.9190874505778226,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,6,2026-04-13T17:21:52.871328,0.85,0.847930160518164,0.850887074063644,0.0009126027425130209,0.0001951968297622915,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,6,2026-04-13T17:21:53.179747,0.75,0.7482517482517483,0.7489510489510489,0.004221038023630779,0.000458842559765229,0.0,3.0,0.8867224307689516,2.5,3.65,2.5
